id,Geographic Area Name,Total population,Median age (years),Sex ratio (males per 100 females),Age dependency ratio,Occupied housing units,Owner-occupied housing units,Renter-occupied housing units,Households below poverty level (12 months),Median household income (2018 inflation adjusted),Households receiving food stamps (12 months),Families,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Hispanic or Latino,white_pop_%,black_pop_%,native_american_pop_%,asian_pop_%,other_race_%,hispanic_pop_%,%_owner_housing,%_rental_housing
1400000US36001013802,"Census Tract 138.02, Albany County, New York",4206,44.3,97.5,53.7,1479,1434,45,30,112026.0,11,1106,3818,129,0,131,0,0,0.9077508321445554,0.030670470756062766,0.0,0.03114598193057537,0.0,0.0,0.9695740365111561,0.030425963488843813
1400000US36001013901,"Census Tract 139.01, Albany County, New York",2318,46.0,105.0,45.7,903,801,102,37,73221.0,0,560,1926,85,33,196,18,114,0.8308886971527178,0.036669542709232096,0.014236410698878344,0.08455565142364108,0.007765314926660914,0.04918032786885246,0.8870431893687708,0.11295681063122924
1400000US36001013902,"Census Tract 139.02, Albany County, New York",5475,38.2,102.9,56.9,2110,1582,528,105,87649.0,9,1424,4610,130,0,547,14,53,0.8420091324200913,0.023744292237442923,0.0,0.09990867579908676,0.0025570776255707762,0.009680365296803653,0.7497630331753554,0.2502369668246445
1400000US36001014001,"Census Tract 140.01, Albany County, New York",4158,45.4,110.1,54.5,1856,912,944,172,65887.0,43,983,2840,377,18,750,22,191,0.683020683020683,0.09066859066859066,0.004329004329004329,0.18037518037518038,0.005291005291005291,0.045935545935545934,0.49137931034482757,0.5086206896551724
1400000US36001014002,"Census Tract 140.02, Albany County, New York",4666,36.1,98.6,59.4,1875,1198,677,205,68750.0,74,1176,4140,202,0,85,23,181,0.8872696099442777,0.043291898842691814,0.0,0.018216888126875268,0.004929275610801543,0.0387912558936991,0.6389333333333334,0.36106666666666665
1400000US36001014100,"Census Tract 141, Albany County, New York",5271,46.5,81.4,84.6,2322,1662,660,117,91892.0,18,1353,4753,29,7,429,0,32,0.9017264276228419,0.005501802314551318,0.0013280212483399733,0.08138873079112123,0.0,0.006070954278125593,0.7157622739018088,0.2842377260981912
1400000US36001014201,"Census Tract 142.01, Albany County, New York",5612,41.8,87.1,62.0,2331,1610,721,171,97585.0,39,1415,4969,123,0,378,17,125,0.885424091233072,0.021917320028510334,0.0,0.06735566642908054,0.0030292230933713473,0.022273699215965788,0.6906906906906907,0.30930930930930933
1400000US36001014202,"Census Tract 142.02, Albany County, New York",5994,44.6,92.6,57.6,2549,1637,912,161,86503.0,41,1585,5682,145,0,71,41,159,0.9479479479479479,0.024190857524190857,0.0,0.011845178511845179,0.006840173506840174,0.026526526526526525,0.6422126324048647,0.35778736759513535
1400000US36001014203,"Census Tract 142.03, Albany County, New York",6556,42.7,106.9,72.6,2607,2113,494,37,120757.0,0,1757,6004,291,0,162,0,87,0.9158023184868822,0.044386821232458816,0.0,0.02471018913971934,0.0,0.013270286760219647,0.8105101649405447,0.18948983505945532
1400000US36001014301,"Census Tract 143.01, Albany County, New York",3060,40.5,89.0,56.8,1202,910,292,100,72778.0,9,636,2692,308,1,0,0,7,0.8797385620915033,0.10065359477124183,0.000326797385620915,0.0,0.0,0.0022875816993464053,0.757071547420965,0.24292845257903495
1400000US36001014302,"Census Tract 143.02, Albany County, New York",8395,42.1,92.1,58.3,3092,2617,475,152,110516.0,49,2296,7638,32,0,522,39,243,0.909827278141751,0.003811792733770101,0.0,0.062179868969624776,0.004645622394282311,0.028945801072066707,0.8463777490297542,0.1536222509702458
1400000US36001014401,"Census Tract 144.01, Albany County, New York",4135,45.4,109.9,73.4,1695,1246,449,69,72564.0,31,1195,4105,3,8,8,0,31,0.992744860943168,0.0007255139056831923,0.0019347037484885128,0.0019347037484885128,0.0,0.0074969770253929865,0.7351032448377581,0.26489675516224187
1400000US36001014402,"Census Tract 144.02, Albany County, New York",3228,41.3,108.5,56.9,1363,820,543,226,57565.0,45,842,2955,246,0,0,0,21,0.9154275092936803,0.0762081784386617,0.0,0.0,0.0,0.006505576208178439,0.6016140865737344,0.3983859134262656
1400000US36001014501,"Census Tract 145.01, Albany County, New York",2479,45.9,120.0,58.4,947,847,100,23,109861.0,5,675,2390,0,0,57,0,24,0.9640984267849939,0.0,0.0,0.022993142396127472,0.0,0.009681323114158934,0.8944033790918691,0.10559662090813093
1400000US36001014502,"Census Tract 145.02, Albany County, New York",3454,48.0,95.0,55.2,1290,1171,119,67,97734.0,24,961,3340,0,0,62,7,129,0.9669947886508397,0.0,0.0,0.01795020266357846,0.002026635784597568,0.037348002316155184,0.9077519379844962,0.09224806201550388
1400000US36001014503,"Census Tract 145.03, Albany County, New York",2806,43.6,96.5,63.7,1097,931,166,78,93794.0,6,783,2698,27,0,55,0,49,0.9615110477548111,0.00962223806129722,0.0,0.019600855310049892,0.0,0.017462580185317177,0.8486782133090246,0.15132178669097537
1400000US36001014606,"Census Tract 146.06, Albany County, New York",3546,42.0,97.9,58.9,1397,1267,130,21,98641.0,8,977,3183,52,0,219,9,106,0.8976311336717429,0.014664410603496898,0.0,0.06175972927241963,0.0025380710659898475,0.029892836999435984,0.9069434502505369,0.09305654974946313
1400000US36001014607,"Census Tract 146.07, Albany County, New York",8018,45.1,89.2,72.3,3038,2478,560,42,105664.0,0,2258,7237,225,0,429,91,237,0.9025941631329508,0.028061860813170365,0.0,0.0535046146171115,0.011349463706660016,0.029558493389872785,0.815668202764977,0.18433179723502305
1400000US36001014608,"Census Tract 146.08, Albany County, New York",4246,23.4,108.6,29.6,1151,871,280,103,71875.0,12,624,3348,364,0,280,92,344,0.7885068299576071,0.08572774375883184,0.0,0.0659444182760245,0.02166745171926519,0.08101742816768724,0.7567332754126846,0.24326672458731538
1400000US36001014609,"Census Tract 146.09, Albany County, New York",4585,37.2,127.2,41.4,2475,1240,1235,128,64426.0,15,990,3737,154,0,512,0,133,0.8150490730643403,0.03358778625954199,0.0,0.11166848418756815,0.0,0.02900763358778626,0.501010101010101,0.498989898989899
1400000US36001014611,"Census Tract 146.11, Albany County, New York",2209,40.6,99.0,55.3,898,696,202,16,101250.0,0,568,1975,23,0,121,9,27,0.8940697148030783,0.01041195110909914,0.0,0.05477591670439113,0.004074241738343142,0.012222725215029425,0.7750556792873051,0.22494432071269488
1400000US36001014612,"Census Tract 146.12, Albany County, New York",1755,42.4,92.9,75.9,690,486,204,78,73333.0,36,431,1593,31,0,79,11,62,0.9076923076923077,0.017663817663817662,0.0,0.045014245014245016,0.0062678062678062675,0.035327635327635325,0.7043478260869566,0.2956521739130435
1400000US36001014613,"Census Tract 146.13, Albany County, New York",2941,45.3,123.5,69.9,1124,900,224,77,76324.0,20,796,2728,83,0,9,33,57,0.9275756545392724,0.028221693301598096,0.0,0.003060183611016661,0.011220673240394424,0.019381162869772185,0.800711743772242,0.199288256227758
1400000US36001014614,"Census Tract 146.14, Albany County, New York",5371,39.5,100.7,49.3,2367,1290,1077,145,72171.0,11,1411,4350,70,0,750,137,214,0.8099050456153416,0.013032954757028486,0.0,0.13963880096816236,0.025507354310184322,0.03984360454291566,0.5449936628643853,0.4550063371356147
1400000US36001014615,"Census Tract 146.15, Albany County, New York",2984,37.6,94.0,68.1,1232,251,981,130,76848.0,62,625,1927,166,0,840,29,139,0.6457774798927614,0.05563002680965148,0.0,0.28150134048257375,0.009718498659517426,0.04658176943699732,0.20373376623376624,0.7962662337662337
1400000US36001014700,"Census Tract 147, Albany County, New York",2894,40.5,119.4,58.4,977,903,74,23,89625.0,10,776,2870,14,8,2,0,0,0.9917069799585349,0.0048375950241879755,0.0027643400138217,0.000691085003455425,0.0,0.0,0.9242579324462641,0.07574206755373593
1400000US36001014801,"Census Tract 148.01, Albany County, New York",2801,47.4,113.5,59.1,1157,1058,99,72,73313.0,26,808,2686,12,0,35,6,49,0.958943234559086,0.004284184219921457,0.0,0.012495537308104248,0.0021420921099607284,0.017493752231345947,0.9144338807260155,0.08556611927398444
1400000US36001014802,"Census Tract 148.02, Albany County, New York",1652,49.5,93.4,76.3,710,641,69,67,61389.0,13,432,1621,20,0,0,0,34,0.9812348668280871,0.012106537530266344,0.0,0.0,0.0,0.020581113801452784,0.9028169014084507,0.09718309859154929
1400000US36001014803,"Census Tract 148.03, Albany County, New York",3353,47.9,110.5,55.7,1315,1149,166,74,82668.0,29,986,3286,2,0,30,35,84,0.9800178944229049,0.0005964807634953773,0.0,0.008947211452430659,0.010438413361169102,0.025052192066805846,0.8737642585551331,0.12623574144486693
1400000US36003940200,"Census Tract 9402, Allegany County, New York",2,,,,1,1,0,0,,0,1,1,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1400000US36003950100,"Census Tract 9501, Allegany County, New York",2308,46.8,102.3,67.0,984,848,136,129,54261.0,83,638,2225,0,0,24,46,41,0.9640381282495667,0.0,0.0,0.010398613518197574,0.01993067590987868,0.01776429809358752,0.8617886178861789,0.13821138211382114
