"GEO_ID","NAME","H002001","H002002","H002003","H002004","H002005","H002006"
"id","Geographic Area Name","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file"
"1400000US36119014805","Census Tract 148.05, Westchester County, New York","1476","817","817","0","659","0"
"1400000US36067010321","Census Tract 103.21, Onondaga County, New York","969","969","969","0","0","0"
"1400000US36059406400","Census Tract 4064, Nassau County, New York","2703","2703","2703","0","0","0"
"1400000US36103146901","Census Tract 1469.01, Suffolk County, New York","1805","1805","1805","0","0","0"
"1400000US36081129103","Census Tract 1291.03, Queens County, New York","2040","2040","2040","0","0","0"
"1400000US36087011501","Census Tract 115.01, Rockland County, New York","2159","2091","2091","0","68","0"
"1400000US36027200001","Census Tract 2000.01, Dutchess County, New York","1661","0","0","0","1661","0"
"1400000US36059407900","Census Tract 4079, Nassau County, New York","2363","2363","2363","0","0","0"
"1400000US36015011200","Census Tract 112, Chemung County, New York","1922","426","426","0","1496","0"
"1400000US36103158108","Census Tract 1581.08, Suffolk County, New York","986","986","986","0","0","0"
"1400000US36053940102","Census Tract 9401.02, Madison County, New York","2347","2347","0","2347","0","0"
"1400000US36115093000","Census Tract 930, Washington County, New York","895","0","0","0","895","0"
"1400000US36065980100","Census Tract 9801, Oneida County, New York","2","0","0","0","2","0"
"1400000US36081094202","Census Tract 942.02, Queens County, New York","1860","1860","1860","0","0","0"
"1400000US36119003700","Census Tract 37, Westchester County, New York","1557","1557","1557","0","0","0"
"1400000US36047025000","Census Tract 250, Kings County, New York","634","634","634","0","0","0"
"1400000US36081069300","Census Tract 693, Queens County, New York","1304","1304","1304","0","0","0"
"1400000US36103147503","Census Tract 1475.03, Suffolk County, New York","517","479","479","0","38","0"
"1400000US36033951200","Census Tract 9512, Franklin County, New York","1138","610","0","610","528","0"
"1400000US36099950200","Census Tract 9502, Seneca County, New York","1188","1011","0","1011","177","0"
"1400000US36117020900","Census Tract 209, Wayne County, New York","2317","1192","0","1192","1125","0"
"1400000US36047014100","Census Tract 141, Kings County, New York","1385","1385","1385","0","0","0"
"1400000US36059521500","Census Tract 5215, Nassau County, New York","1595","1595","1595","0","0","0"
"1400000US36047082800","Census Tract 828, Kings County, New York","1440","1440","1440","0","0","0"
"1400000US36065021701","Census Tract 217.01, Oneida County, New York","1619","1619","1619","0","0","0"
"1400000US36005028600","Census Tract 286, Bronx County, New York","540","540","540","0","0","0"
"1400000US36047029500","Census Tract 295, Kings County, New York","1818","1818","1818","0","0","0"
"1400000US36059302900","Census Tract 3029, Nassau County, New York","1453","1453","1453","0","0","0"
"1400000US36055010300","Census Tract 103, Monroe County, New York","1582","1582","1582","0","0","0"
"1400000US36027220901","Census Tract 2209.01, Dutchess County, New York","1747","1747","1747","0","0","0"
"1400000US36065021702","Census Tract 217.02, Oneida County, New York","1278","1278","1278","0","0","0"
"1400000US36079011600","Census Tract 116, Putnam County, New York","2067","2039","2039","0","28","0"
"1400000US36067015203","Census Tract 152.03, Onondaga County, New York","1099","1099","1099","0","0","0"
"1400000US36063023100","Census Tract 231, Niagara County, New York","1196","1196","1196","0","0","0"
"1400000US36081056100","Census Tract 561, Queens County, New York","29","29","29","0","0","0"
"1400000US36103180300","Census Tract 1803, Suffolk County, New York","2754","0","0","0","2754","0"
"1400000US36005048400","Census Tract 484, Bronx County, New York","1294","1294","1294","0","0","0"
"1400000US36081014300","Census Tract 143, Queens County, New York","1833","1833","1833","0","0","0"
"1400000US36103146003","Census Tract 1460.03, Suffolk County, New York","2461","2461","2461","0","0","0"
"1400000US36029007600","Census Tract 76, Erie County, New York","1311","1311","1311","0","0","0"
"1400000US36081092800","Census Tract 928, Queens County, New York","1289","1289","1289","0","0","0"
"1400000US36007000300","Census Tract 3, Broome County, New York","1496","1496","1496","0","0","0"
"1400000US36055012100","Census Tract 121, Monroe County, New York","1700","1700","1700","0","0","0"
"1400000US36027220801","Census Tract 2208.01, Dutchess County, New York","2141","2141","2141","0","0","0"
"1400000US36047102600","Census Tract 1026, Kings County, New York","935","935","935","0","0","0"
"1400000US36047036400","Census Tract 364, Kings County, New York","1089","1089","1089","0","0","0"
